行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
96290	金顺珠	1	jin1 shun4 zhu1	jinshunzhu				jin shun zhu	原始双字段一致（非独立语料证据）	
96291	金顺雅	1	jin1 shun4 ya1/ya3	jinshunya				jin shun ya	原始双字段一致（非独立语料证据）	
96292	金领	1	jin1 ling3	jinling	jin1 ling3	jin ling	jin ling	jin ling	简单鹤与鲸凉鹤去飞键后一致	
96293	金颖楚	1	jin1 ying3 chu3	jinyingchu				jin ying chu	原始双字段一致（非独立语料证据）	
96294	金高尼	1	jin1 gao1 ni2	jingaoni				jin gao ni	原始双字段一致（非独立语料证据）	
96295	金鸽	1	jin1 ge1	jinge				jin ge	原始双字段一致（非独立语料证据）	
96296	金鹏	1	jin1 peng2	jinpeng		jin peng	jin peng	jin peng	简单鹤与鲸凉鹤去飞键后一致	
96297	钝	1	#	*	dun4			待分配	孤立多音字无语境；待分配	
96298	鈎	1	#	*	gou1			待分配	孤立多音字无语境；待分配	
96299	钮	1	#	*	niu3			待分配	孤立多音字无语境；待分配	
96300	钧	1	#	*	jun1			待分配	孤立多音字无语境；待分配	
96301	铅	1	#	*	qian1 | yan2			待分配	孤立多音字无语境；待分配	
96302	鉴别力	1	jian4 bie2/bie4 li4	jianbieli				jian bie li	原始双字段一致（非独立语料证据）	
96303	鉴宝	1	jian4 bao3	jianbao		jian bao	jian bao	jian bao	简单鹤与鲸凉鹤去飞键后一致	
96304	银	1	#	*	yin2			待分配	孤立多音字无语境；待分配	
96305	锭	1	#	*	ding4			待分配	孤立多音字无语境；待分配	
96306	链	1	#	*	lian4			待分配	孤立多音字无语境；待分配	
96307	锲	1	#	*	qie4			待分配	孤立多音字无语境；待分配	
96308	鎇	1	#	*	mei2			待分配	孤立多音字无语境；待分配	
96309	鏊	1	ao4	ao	ao4			ao	整词词典与原始音节一致	
96310	鑚	1	#	*	zuan4			待分配	孤立多音字无语境；待分配	
96311	鑫双	1	xin1 shuang1	*shuang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
96312	针叶	1	zhen1 ye4	zhenye		zhen ye	zhen ye	zhen ye	简单鹤与鲸凉鹤去飞键后一致	
96313	针叶林	1	zhen1 ye4 lin2	zhenyelin				zhen ye lin	原始双字段一致（非独立语料证据）	
96314	针砭	1	zhen1 bian1	zhenbian	zhen1 bian1	zhen bian	zhen bian	zhen bian	简单鹤与鲸凉鹤去飞键后一致	
96315	针鼹	1	zhen1 yan3	zhenyan				zhen yan	原始双字段一致（非独立语料证据）	
96316	钌	1	liao3/liao4	liao	liao3 | liao4			liao	整词词典与原始音节一致	
96317	钎	1	qian1	qian	qian1			qian	整词词典与原始音节一致	
96318	钒	1	fan2	fan	fan2			fan	整词词典与原始音节一致	
96319	钔	1	men2	men	men2			men	整词词典与原始音节一致	
96320	钕	1	nu:3	nv	nv3			nv	整词词典与原始音节一致	
96321	钜	1	ju4	ju	ju4			ju	整词词典与原始音节一致	
96322	钟万好	1	zhong1 mo4/wan4 hao3/hao4	zhongwanhao				待分配	证据不足或仍冲突；待分配	
96323	钟万来	1	zhong1 mo4/wan4 lai2	zhongwanlai				待分配	证据不足或仍冲突；待分配	
96324	钟九	1	zhong1 jiu3	zhongjiu				zhong jiu	原始双字段一致（非独立语料证据）	
96325	钟乳石	1	zhong1 ru3 dan4/shi2	zhongrushi	zhong1 ru3 shi2			zhong ru shi	整词词典与原始音节一致	
96326	钟会响	1	zhong1 hui4/kuai4 xiang3	zhonghuixiang				待分配	证据不足或仍冲突；待分配	
96327	钟奎	1	zhong1 kui2	zhongkui				zhong kui	原始双字段一致（非独立语料证据）	
96328	钟孙华	1	zhong1 sun1 hua1/hua2/hua4	zhongsunhua				zhong sun hua	原始双字段一致（非独立语料证据）	
96329	钟意	1	zhong1 yi4	zhongyi			zhong yi	zhong yi	单份鹤参考与其他证据一致	
96330	钟放	1	zhong1 fang4	zhongfang				zhong fang	原始双字段一致（非独立语料证据）	
96331	钟无艳	1	zhong1 mo2/wu2 yan4	zhongwuyan				待分配	证据不足或仍冲突；待分配	
96332	钟时会	1	zhong1 shi2 hui4/kuai4	zhongshihui				待分配	证据不足或仍冲突；待分配	
96333	钟明实	1	zhong1 ming2 shi2	zhongmingshi				zhong ming shi	原始双字段一致（非独立语料证据）	
96334	钟是林	1	zhong1 shi4 lin2	zhongshilin				zhong shi lin	原始双字段一致（非独立语料证据）	
96335	钟来	1	zhong1 lai2	zhonglai				zhong lai	原始双字段一致（非独立语料证据）	
96336	钟民	1	zhong1 min2	zhongmin				zhong min	原始双字段一致（非独立语料证据）	
96337	钟浩	1	zhong1 hao4	zhonghao				zhong hao	原始双字段一致（非独立语料证据）	
96338	钟海明	1	zhong1 hai3 ming2	zhonghaiming				zhong hai ming	原始双字段一致（非独立语料证据）	
96339	钟路	1	zhong1 lu4	zhonglu				zhong lu	原始双字段一致（非独立语料证据）	
96340	钟飞	1	zhong1 fei1	zhongfei				zhong fei	原始双字段一致（非独立语料证据）	
96341	钠灯	1	na4 deng1	nadeng				na deng	原始双字段一致（非独立语料证据）	
96342	钢丝锯	1	gang1 si1 ju4	gangsiju				gang si ju	原始双字段一致（非独立语料证据）	
96343	钢包	1	gang1/gang4 bao1	gangbao				gang bao	原始双字段一致（非独立语料证据）	
96344	钢印	1	gang1/gang4 yin4	gangyin	gang1 yin4	gang yin	gang yin	gang yin	简单鹤与鲸凉鹤去飞键后一致	
96345	钢尺	1	gang1/gang4 che3/chi3	gangchi		gang chi	gang chi	gang chi	简单鹤与鲸凉鹤去飞键后一致	
96346	钢枪	1	gang1/gang4 qiang1	gangqiang		gang qiang	gang qiang	gang qiang	简单鹤与鲸凉鹤去飞键后一致	
96347	钢梁	1	gang1/gang4 liang2	gangliang			gang liang	gang liang	单份鹤参考与其他证据一致	
96348	钢炮	1	gang1/gang4 bao1/pao1/pao2/pao4	gangpao	gang1 pao4	gang pao	gang pao	gang pao	简单鹤与鲸凉鹤去飞键后一致	
96349	钢牙	1	gang1/gang4 ya2	gangya	gang1 ya2	gang ya	gang ya	gang ya	简单鹤与鲸凉鹤去飞键后一致	
96350	钢瓶	1	gang1/gang4 ping2	gangping	gang1 ping2	gang ping	gang ping	gang ping	简单鹤与鲸凉鹤去飞键后一致	
96351	钢箍	1	gang1/gang4 gu1	ganggu				gang gu	原始双字段一致（非独立语料证据）	
96352	钢针	1	gang1/gang4 zhen1	gangzhen	gang1 zhen1	gang zhen	gang zhen	gang zhen	简单鹤与鲸凉鹤去飞键后一致	
96353	钢铁长城	1	gang1/gang4 tie3 chang2/zhang3 cheng2	gangtiechangcheng				待分配	证据不足或仍冲突；待分配	
96354	钢锯条	1	gang1/gang4 ju1/ju4 tiao2	gangjutiao				gang ju tiao	原始双字段一致（非独立语料证据）	
96355	钢骨	1	gang1/gang4 gu1/gu2/gu3	ganggu		gang gu	gang gu	gang gu	简单鹤与鲸凉鹤去飞键后一致	
96356	钣	1	ban3	ban	ban3			ban	整词词典与原始音节一致	
96357	钦奈	1	Qin1 nai4	qinnai				qin nai	原始双字段一致（非独立语料证据）	
96358	钦差	1	qin1 cha1/cha4/chai1/ci1	qinchai	qin1 chai1	qin cha | qin chai	qin cha | qin chai	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
96359	钫	1	fang1	fang	fang1			fang	整词词典与原始音节一致	
96360	钮伯格曼	1	niu3 bai3/bo2 ge1/ge2 man4	niubogeman				待分配	证据不足或仍冲突；待分配	
96361	钮化	1	niu3 hua1/hua4	niuhua				niu hua	原始双字段一致（非独立语料证据）	
96362	钱一文	1	qian2 yi1 wen2	qianyiwen				qian yi wen	原始双字段一致（非独立语料证据）	
96363	钱万年	1	qian2 mo4/wan4 nian2	qianwannian				待分配	证据不足或仍冲突；待分配	
96364	钱为荣	1	qian2 wei2/wei4 rong2	qianweirong				qian wei rong	原始双字段一致（非独立语料证据）	
96365	钱以备	1	qian2 yi3 bei4	qianyibei				qian yi bei	原始双字段一致（非独立语料证据）	
96366	钱修路	1	qian2 xiu1 lu4	qianxiulu				qian xiu lu	原始双字段一致（非独立语料证据）	
96367	钱全花	1	qian2 quan2 hua1	qianquanhua				qian quan hua	原始双字段一致（非独立语料证据）	
96368	钱原	1	qian2 yuan2	qianyuan				qian yuan	原始双字段一致（非独立语料证据）	
96369	钱可存	1	qian2 ke3/ke4 cun2	qiankecun				qian ke cun	原始双字段一致（非独立语料证据）	
96370	钱和权	1	qian2 he2/he4/hu2/huo2/huo4 quan2	qianhequan				待分配	证据不足或仍冲突；待分配	
96371	钱塞	1	qian2 sai1/sai4/se4	qiansai				待分配	证据不足或仍冲突；待分配	
96372	钱大福	1	qian2 da4/dai4 fu2	qiandafu				待分配	证据不足或仍冲突；待分配	
96373	钱存好	1	qian2 cun2 hao3/hao4	qiancunhao				qian cun hao	原始双字段一致（非独立语料证据）	
96374	钱存起	1	qian2 cun2 qi3	qiancunqi				qian cun qi	原始双字段一致（非独立语料证据）	
96375	钱尼	1	qian2 ni2	qianni				qian ni	原始双字段一致（非独立语料证据）	
96376	钱尼克	1	qian2 ni2 ke4	qiannike				qian ni ke	原始双字段一致（非独立语料证据）	
96377	钱库里	1	qian2 ku4 li3	qiankuli				qian ku li	原始双字段一致（非独立语料证据）	
96378	钱德勒泰森	1	qian2 de2 le4/lei1 tai4 sen1	qiandeletaisen				待分配	证据不足或仍冲突；待分配	
96379	钱德尔	1	qian2 de2 er3	qiandeer				qian de er	原始双字段一致（非独立语料证据）	
96380	钱拉	1	qian2 la1/la2/la3/la4	qianla				qian la	原始双字段一致（非独立语料证据）	
96381	钱柏林	1	qian2 bai3/bo2/bo4 lin2	qianbailin				待分配	证据不足或仍冲突；待分配	
96382	钱梅	1	qian2 mei2	qianmei				qian mei	原始双字段一致（非独立语料证据）	
96383	钱洗白	1	qian2 xi3/xian3 bai2	qianxibai				待分配	证据不足或仍冲突；待分配	
96384	钱照花	1	qian2 zhao4 hua1	qianzhaohua				qian zhao hua	原始双字段一致（非独立语料证据）	
96385	钱粮	1	qian2 liang2	qianliang	qian2 liang2	qian liang	qian liang	qian liang	简单鹤与鲸凉鹤去飞键后一致	
96386	钱而生	1	qian2 er2 sheng1	qianersheng				qian er sheng	原始双字段一致（非独立语料证据）	
96387	钱连本	1	qian2 lian2 ben3	qianlianben				qian lian ben	原始双字段一致（非独立语料证据）	
96388	钷	1	po3	po	po3			po	整词词典与原始音节一致	
96389	钻井队	1	zuan1/zuan4 jing3 dui4	zuanjingdui				zuan jing dui	原始双字段一致（非独立语料证据）	
96390	钽	1	tan3	tan	tan3			tan	整词词典与原始音节一致	
96391	钾盐	1	jia3 yan2	jiayan	jia3 yan2			jia yan	整词词典与原始音节一致	
96392	钾肥	1	jia3 fei2	jiafei	jia3 fei2	jia fei	jia fei	jia fei	简单鹤与鲸凉鹤去飞键后一致	
96393	铁大仁	1	tie3 da4/dai4 ren2	tiedaren				待分配	证据不足或仍冲突；待分配	
96394	铁子	1	tie3 zi3	tiezi			tie zi	tie zi	单份鹤参考与其他证据一致	
96395	铁定会	1	tie3 ding4 hui4/kuai4	tiedinghui				待分配	证据不足或仍冲突；待分配	
96396	铁山	1	tie3 shan1	tieshan		tie shan	tie shan	tie shan	简单鹤与鲸凉鹤去飞键后一致	
96397	铁工	1	tie3 gong1	tiegong		tie gong	tie gong	tie gong	简单鹤与鲸凉鹤去飞键后一致	
96398	铁床	1	tie3 chuang2	tiechuang		tie chuang	tie chuang	tie chuang	简单鹤与鲸凉鹤去飞键后一致	
96399	铁杉	1	tie3 sha1/shan1	tieshan		tie sha | tie shan	tie sha | tie shan	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
96400	铁束	1	tie3 shu4	tieshu				tie shu	原始双字段一致（非独立语料证据）	
96401	铁板一块	1	tie3 ban3 yi1 kuai4	tiebanyikuai				tie ban yi kuai	原始双字段一致（非独立语料证据）	
96402	铁柱	1	tie3 zhu4	tiezhu	tie3 zhu4	tie zhu	tie zhu	tie zhu	简单鹤与鲸凉鹤去飞键后一致	
96403	铁模	1	tie3 mo2/mu2	tiemo				待分配	证据不足或仍冲突；待分配	
96404	铁武	1	tie3 wu3	tiewu				tie wu	原始双字段一致（非独立语料证据）	
96405	铁比金	1	tie3 bi3 jin1	tiebijin				tie bi jin	原始双字段一致（非独立语料证据）	
96406	铁燧	1	tie3 sui4	tie*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
96407	铁球	1	tie3 qiu2	tieqiu		tie qiu	tie qiu	tie qiu	简单鹤与鲸凉鹤去飞键后一致	
96408	铁璧	1	tie3 bi4	tie*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
96409	铁甲	1	tie3 jia3	tiejia	tie3 jia3	tie jia	tie jia	tie jia	简单鹤与鲸凉鹤去飞键后一致	
96410	铁甲舰	1	tie3 jia3 jian4	tiejiajian				tie jia jian	原始双字段一致（非独立语料证据）	
96411	铁盆	1	tie3 pen2	tiepen		tie pen	tie pen	tie pen	简单鹤与鲸凉鹤去飞键后一致	
96412	铁矿石	1	tie3 kuang4 shi2	tiekuangshi	tie3 kuang4 shi2			tie kuang shi	整词词典与原始音节一致	
96413	铁砂	1	tie3 sha1	tiesha	tie3 sha1	tie sha	tie sha	tie sha	简单鹤与鲸凉鹤去飞键后一致	
96414	铁素	1	tie3 su4	tiesu				tie su	原始双字段一致（非独立语料证据）	
96415	铁线蕨	1	tie3 xian4 jue2	tiexianjue				tie xian jue	原始双字段一致（非独立语料证据）	
96416	铁造	1	tie3 zao4	tiezao				tie zao	原始双字段一致（非独立语料证据）	
96417	铁道线	1	tie3 dao4 xian4	tiedaoxian				tie dao xian	原始双字段一致（非独立语料证据）	
96418	铁里	1	tie3 li3	tieli				tie li	原始双字段一致（非独立语料证据）	
96419	铁铁	1	tie3 tie3	tietie				tie tie	原始双字段一致（非独立语料证据）	
96420	铁铮铮	1	tie3 zheng1/zheng4 zheng1/zheng4	tie**				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
96421	铁饼	1	tie3 bing3	tiebing	tie3 bing3	tie bing	tie bing	tie bing	简单鹤与鲸凉鹤去飞键后一致	
96422	铁骑	1	tie3 qi2	tieqi	tie3 qi2	tie qi	tie qi	tie qi	简单鹤与鲸凉鹤去飞键后一致	
96423	铁鸟	1	tie3 diao3/niao3	tieniao		tie niao	tie niao	tie niao	简单鹤与鲸凉鹤去飞键后一致	
96424	铃木一郎	1	ling2 mu4 yi1 lang2/lang4	lingmuyilang				ling mu yi lang	原始双字段一致（非独立语料证据）	
96425	铃木庆一	1	ling2 mu4 qing4 yi1	lingmuqingyi				ling mu qing yi	原始双字段一致（非独立语料证据）	
96426	铃木真由美	1	ling2 mu4 zhen1 you2 mei3	lingmuzhenyoumei				ling mu zhen you mei	原始双字段一致（非独立语料证据）	
96427	铄	1	shuo4	shuo	shuo4			shuo	整词词典与原始音节一致	
96428	铅印	1	qian1/yan2 yin4	qianyin	qian1 yin4	qian yin	qian yin	qian yin	简单鹤与鲸凉鹤去飞键后一致	
96429	铅封	1	qian1/yan2 feng1	qianfeng	qian1 feng1	qian feng	qian feng	qian feng	简单鹤与鲸凉鹤去飞键后一致	
96430	铅玻璃	1	qian1/yan2 bo1 li2/li5	qianboli				待分配	证据不足或仍冲突；待分配	
96431	铅笔画	1	qian1/yan2 bi3 hua4	qianbihua	qian1 bi3 hua4			qian bi hua	整词词典与原始音节一致	
96432	铅锤	1	qian1 chui2	qianchui		qian chui	qian chui	qian chui	简单鹤与鲸凉鹤去飞键后一致	
96433	铆	1	mao3	mao	mao3			mao	整词词典与原始音节一致	
96434	铈	1	shi4	shi	shi4			shi	整词词典与原始音节一致	
96435	铕	1	you3	you	you3			you	整词词典与原始音节一致	
96436	铗	1	jia2	jia	jia2			jia	整词词典与原始音节一致	
96437	铜壶	1	tong2 hu2	tonghu		tong hu	tong hu	tong hu	简单鹤与鲸凉鹤去飞键后一致	
96438	铜版画	1	tong2 ban3 hua4	tongbanhua				tong ban hua	原始双字段一致（非独立语料证据）	
96439	铜雕	1	tong2 diao1	tongdiao		tong diao	tong diao	tong diao	简单鹤与鲸凉鹤去飞键后一致	
96440	铠	1	kai3	kai	kai3			kai	整词词典与原始音节一致	
96441	铢	1	zhu1	zhu	zhu1			zhu	整词词典与原始音节一致	
96442	铣	1	xi3/xian3	xi	xi3			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
96443	铥	1	diu1	diu	diu1			diu	整词词典与原始音节一致	
96444	铬钢	1	ge4 gang1/gang4	gegang				ge gang	原始双字段一致（非独立语料证据）	
96445	铬铁矿	1	ge4 tie3 kuang4	getiekuang				ge tie kuang	原始双字段一致（非独立语料证据）	
96446	铭心刻骨	1	ming2 xin1 ke4 gu3	mingxinkegu	ming2 xin1 ke4 gu3			ming xin ke gu	整词词典与原始音节一致	
96447	铭言	1	ming2 yan2	mingyan				ming yan	原始双字段一致（非独立语料证据）	
96448	铯	1	se4	se	se4			se	整词词典与原始音节一致	
96449	铲刀	1	chan3 dao1	chandao		chan dao	chan dao	chan dao	简单鹤与鲸凉鹤去飞键后一致	
96450	银号	1	yin2 hao2/hao4	yinhao				yin hao	原始双字段一致（非独立语料证据）	
96451	银圣会	1	yin2 sheng4 hui4/kuai4	yinshenghui				待分配	证据不足或仍冲突；待分配	
96452	银圣来	1	yin2 sheng4 lai2	yinshenglai				yin sheng lai	原始双字段一致（非独立语料证据）	
96453	银川	1	Yin2 chuan1	yinchuan	yin2 chuan1	yin chuan	yin chuan	yin chuan	简单鹤与鲸凉鹤去飞键后一致	
96454	银根	1	yin2 gen1	yingen	yin2 gen1	yin gen	yin gen	yin gen	简单鹤与鲸凉鹤去飞键后一致	
96455	银滩	1	yin2 tan1	yintan		yin tan	yin tan	yin tan	简单鹤与鲸凉鹤去飞键后一致	
96456	银环蛇	1	yin2 huan2 she2/yi2	yinhuanshe				待分配	证据不足或仍冲突；待分配	
96457	银耳	1	yin2 er3	yiner	yin2 er3			yin er	整词词典与原始音节一致	
96458	银行法	1	yin2 hang2/hang4/heng2/xing2 fa3	yinxingfa				待分配	证据不足或仍冲突；待分配	
96459	银装	1	yin2 zhuang1	yinzhuang		yin zhuang	yin zhuang	yin zhuang	简单鹤与鲸凉鹤去飞键后一致	
96460	银贞	1	yin2 zhen1	yinzhen				yin zhen	原始双字段一致（非独立语料证据）	
96461	银质奖	1	yin2 zhi4 jiang3	yinzhijiang				yin zhi jiang	原始双字段一致（非独立语料证据）	
96462	银铃	1	yin2 ling2	yinling	yin2 ling2	yin ling	yin ling	yin ling	简单鹤与鲸凉鹤去飞键后一致	
96463	银驹	1	yin2 ju1	yinju				yin ju	原始双字段一致（非独立语料证据）	
96464	铷	1	ru2	ru	ru2			ru	整词词典与原始音节一致	
96465	铺展	1	pu1 zhan3	puzhan	pu1 zhan3	pu zhan	pu zhan	pu zhan	简单鹤与鲸凉鹤去飞键后一致	
96466	铺砌	1	pu1 qi4	puqi	pu1 qi4	pu qi	pu qi	pu qi	简单鹤与鲸凉鹤去飞键后一致	
96467	铺陈	1	pu1 chen2	puchen	pu1 chen2	pu chen	pu chen	pu chen	简单鹤与鲸凉鹤去飞键后一致	
96468	铺面	1	pu4 mian4	pumian	pu4 mian4	pu mian	pu mian	pu mian	简单鹤与鲸凉鹤去飞键后一致	
96469	铼	1	lai2	lai	lai2			lai	整词词典与原始音节一致	
96470	链霉素	1	lian4 mei2 su4	lianmeisu				lian mei su	原始双字段一致（非独立语料证据）	
96471	销售税	1	xiao1 shou4 shui4	xiaoshoushui				xiao shou shui	原始双字段一致（非独立语料证据）	
96472	锁业	1	suo3 ye4	suoye				suo ye	原始双字段一致（非独立语料证据）	
96473	锁具	1	suo3 ju4	suoju	suo3 ju4	suo ju	suo ju	suo ju	简单鹤与鲸凉鹤去飞键后一致	
96474	锁器	1	suo3 qi4	suoqi				suo qi	原始双字段一致（非独立语料证据）	
96475	锁在	1	suo3 zai4	suozai		suo zai	suo zai	suo zai	简单鹤与鲸凉鹤去飞键后一致	
96476	锁边	1	suo3 bian1/bian5	suobian	suo3 bian1	suo bian	suo bian	suo bian	简单鹤与鲸凉鹤去飞键后一致	
96477	锁锁	1	suo3 suo3	suosuo				suo suo	原始双字段一致（非独立语料证据）	
96478	锄奸	1	chu2 jian1	chujian	chu2 jian1	chu jian	chu jian	chu jian	简单鹤与鲸凉鹤去飞键后一致	
96479	锋锋	1	feng1 feng1	fengfeng				feng feng	原始双字段一致（非独立语料证据）	
96480	锍	1	liu3	liu	liu3			liu	整词词典与原始音节一致	
96481	锎	1	kai1	kai	kai1			kai	整词词典与原始音节一致	
96482	锐减	1	rui4 jian3	ruijian	rui4 jian3	rui jian	rui jian	rui jian	简单鹤与鲸凉鹤去飞键后一致	
96483	锐意进取	1	rui4 yi4 jin4 qu3	ruiyijinqu	rui4 yi4 jin4 qu3			rui yi jin qu	整词词典与原始音节一致	
96484	锕	1	a1	a	a1			a	整词词典与原始音节一致	
96485	锘	1	nuo4	nuo	nuo4			nuo	整词词典与原始音节一致	
96486	错落	1	cuo4 luo4	cuoluo	cuo4 luo4	cuo luo	cuo luo	cuo luo	简单鹤与鲸凉鹤去飞键后一致	
96487	错金	1	cuo4 jin1	cuojin	cuo4 jin1			cuo jin	整词词典与原始音节一致	
96488	锚地	1	mao2 de5/di4	maodi		mao di	mao di	mao di	简单鹤与鲸凉鹤去飞键后一致	
96489	锛	1	ben1	ben	ben1			ben	整词词典与原始音节一致	
96490	锛子	1	ben1 zi3	benzi				ben zi	原始双字段一致（非独立语料证据）	
96491	锝	1	de2	de	de2			de	整词词典与原始音节一致	
96492	锡克尔	1	xi1 ke4 er3	xikeer				xi ke er	原始双字段一致（非独立语料证据）	
96493	锡兵	1	xi1 bing1	xibing				xi bing	原始双字段一致（非独立语料证据）	
96494	锡德尼	1	xi1 de2 ni2	xideni				xi de ni	原始双字段一致（非独立语料证据）	
96495	锡拉丘兹市	1	xi1 la1/la2/la3/la4 qiu1 ci2/zi1 shi4	xilaqiuzishi				待分配	证据不足或仍冲突；待分配	
96496	锡拉丘兹的本·施瓦兹瓦德	1	xi1 la1/la2/la3/la4 qiu1 ci2/zi1 de5/di2/di4 ben3 #shi1 wa3/wa4 ci2/zi1 wa3/wa4 de2	xilaqiuzideben*shiwaziwade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
96497	锡拉丘兹的鲍勃·兰迪	1	xi1 la1/la2/la3/la4 qiu1 ci2/zi1 de5/di2/di4 bao4 bo2 #lan2 di2	xilaqiuzidebaobo*landi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
96498	锡沃	1	xi1 wo4	xiwo				xi wo	原始双字段一致（非独立语料证据）	
96499	锡泰	1	xi1 tai4	xitai				xi tai	原始双字段一致（非独立语料证据）	
96500	锡维克	1	xi1 wei2 ke4	xiweike				xi wei ke	原始双字段一致（非独立语料证据）	
96501	锡腊库思	1	xi1 la4/xi1 ku4 sai1/si1	xilakusi				待分配	证据不足或仍冲突；待分配	
96502	锡达拉皮兹的亚瑟·赫金斯	1	xi1 da2 la1/la2/la3/la4 pi2 ci2/zi1 de5/di2/di4 ya4 se4 #he4 jin1 si1	xidalapizideyase*hejinsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
96503	锣鼓	1	luo2 gu3	luogu	luo2 gu3	luo gu	luo gu	luo gu	简单鹤与鲸凉鹤去飞键后一致	
96504	锤骨	1	chui2 gu3	chuigu				chui gu	原始双字段一致（非独立语料证据）	
96505	锦州	1	Jin3 zhou1	jinzhou	jin3 zhou1			jin zhou	整词词典与原始音节一致	
96506	锦素	1	jin3 su4	jinsu				jin su	原始双字段一致（非独立语料证据）	
96507	锦绣	1	jin3 xiu4	jinxiu	jin3 xiu4	jin xiu	jin xiu	jin xiu	简单鹤与鲸凉鹤去飞键后一致	
96508	锫	1	pei2	pei	pei2			pei	整词词典与原始音节一致	
96509	锭子	1	ding4 zi3	dingzi				ding zi	原始双字段一致（非独立语料证据）	
96510	锵锵	1	qiang1 qiang1	**		qiang qiang	qiang qiang	qiang qiang	简单鹤与鲸凉鹤去飞键后一致	辅助拼音不可唯一核验
96511	锻件	1	duan4 jian4	duanjian	duan4 jian4			duan jian	整词词典与原始音节一致	
96512	锻工	1	duan4 gong1	duangong				duan gong	原始双字段一致（非独立语料证据）	
96513	锾	1	huan2	huan	huan2			huan	整词词典与原始音节一致	
96514	镂花	1	lou4 hua1	louhua				lou hua	原始双字段一致（非独立语料证据）	
96515	镄	1	fei4	fei	fei4			fei	整词词典与原始音节一致	
96516	镇中	1	zhen4 zhong1/zhong4	zhenzhong			zhen zhong	zhen zhong	单份鹤参考与其他证据一致	
96517	镇区	1	zhen4 qu1	zhenqu				zhen qu	原始双字段一致（非独立语料证据）	
96518	镇咳剂	1	zhen4 hai1/ke2 ji4	zhenkeji				待分配	证据不足或仍冲突；待分配	
96519	镇来	1	zhen4 lai2	zhenlai				zhen lai	原始双字段一致（非独立语料证据）	
96520	镊	1	nie4	nie	nie4			nie	整词词典与原始音节一致	
96521	镌刻	1	juan1 ke4	juanke	juan1 ke4	juan ke	juan ke	juan ke	简单鹤与鲸凉鹤去飞键后一致	
96522	镎	1	na2	na	na2			na	整词词典与原始音节一致	
96523	镐头	1	gao3/hao4 tou2	gaotou	gao3 tou2	gao tou	gao tou	gao tou	简单鹤与鲸凉鹤去飞键后一致	
96524	镜业	1	jing4 ye4	jingye				jing ye	原始双字段一致（非独立语料证据）	
96525	镜中	1	jing4 zhong1/zhong4	jingzhong	jing4 zhong1	jing zhong	jing zhong	jing zhong	简单鹤与鲸凉鹤去飞键后一致	
96526	镜台	1	jing4 tai1/tai2	jingtai	jing4 tai2			jing tai	整词词典与原始音节一致	
96527	镞	1	zu2	zu	zu2			zu	整词词典与原始音节一致	
96528	镢	1	jue2	jue	jue2			jue	整词词典与原始音节一致	
96529	镤	1	pu2	pu	pu2			pu	整词词典与原始音节一致	
96530	镥	1	lu3	lu	lu3			lu	整词词典与原始音节一致	
96531	镧	1	lan2	lan	lan2			lan	整词词典与原始音节一致	
96532	镨	1	pu3	pu	pu3			pu	整词词典与原始音节一致	
96533	镮	1	#	*	huan2			待分配	孤立多音字无语境；待分配	
96534	镯	1	zhuo2	zhuo	zhuo2			zhuo	整词词典与原始音节一致	
96535	镶嵌画	1	xiang1 kan4/qian4 hua4	xiangqianhua				待分配	证据不足或仍冲突；待分配	
96536	长上	1	chang2/zhang3 shang3/shang4	changshang				待分配	证据不足或仍冲突；待分配	
96537	长亲	1	chang2/zhang3 qin1/qing4	changqin	zhang3 qin1	zhang qin	zhang qin	zhang qin	整词人工裁决	整词词典与辅助拼音矛盾
96538	长佑	1	chang2/zhang3 you4	changyou				待分配	证据不足或仍冲突；待分配	
96539	长十郎	1	chang2/zhang3 shi2 lang2/lang4	changshilang				待分配	证据不足或仍冲突；待分配	
96540	长君	1	chang2/zhang3 jun1	changjun				待分配	证据不足或仍冲突；待分配	
96541	长嘴	1	chang2/zhang3 zui3	changzui			chang zui | zhang zui	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
96542	长孙	1	zhang3 sun1	zhangsun	zhang3 sun1	zhang sun	zhang sun	zhang sun	整词人工裁决	
96543	长得	1	zhang3 de5	changde	zhang3 de2	zhang de	zhang de	zhang de	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
96544	长得俊	1	chang2/zhang3 de2/de5/dei3 juan4/jun4	changdejun				待分配	证据不足或仍冲突；待分配	
96545	长政	1	chang2/zhang3 zheng4	changzheng				待分配	证据不足或仍冲突；待分配	
